AuthorID,Author,Date,Content,Attachments,Reactions
"624716755973177373","MH#2175","28-Nov-19 11:31 PM","bruh","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:31 PM","Started a call.","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:31 PM","tj","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:31 PM","please","",""
"624716755973177373","MH#2175","28-Nov-19 11:31 PM","t-money","",""
"624716755973177373","MH#2175","28-Nov-19 11:31 PM","we need you","",""
"624716755973177373","MH#2175","28-Nov-19 11:31 PM","it's our thanksgiving wish","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:32 PM","i can pay you in money","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:32 PM","or sex","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:32 PM","you chose","",""
"624716755973177373","MH#2175","28-Nov-19 11:32 PM","or both","",""
"291287358265884672","AcDcBoss#9132","28-Nov-19 11:32 PM","Started a call.","",""
"291287358265884672","AcDcBoss#9132","28-Nov-19 11:36 PM","Removed a recipient.","",""
"624716755973177373","MH#2175","28-Nov-19 11:38 PM","Added a recipient.","",""
"624716755973177373","MH#2175","28-Nov-19 11:39 PM","tj","",""
"624716755973177373","MH#2175","28-Nov-19 11:39 PM","we need ur wisdom","",""
"291287358265884672","AcDcBoss#9132","28-Nov-19 11:39 PM","why","",""
"624716755973177373","MH#2175","28-Nov-19 11:39 PM","cuz ur god","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:39 PM","we have troubles","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:39 PM","that need solving","",""
"291287358265884672","AcDcBoss#9132","28-Nov-19 11:39 PM","Removed a recipient.","",""
"624716755973177373","MH#2175","28-Nov-19 11:39 PM","shoudl spencer eat stuffing until his blood vessels burst","",""
"624716755973177373","MH#2175","28-Nov-19 11:39 PM","Added a recipient.","",""
"624716755973177373","MH#2175","28-Nov-19 11:40 PM","no","",""
"624716755973177373","MH#2175","28-Nov-19 11:40 PM","we need you","",""
"291287358265884672","AcDcBoss#9132","28-Nov-19 11:40 PM","Removed a recipient.","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:40 PM","please","",""
"128681679895134208","DeadMonarchy#3770","28-Nov-19 11:40 PM","","https://cdn.discordapp.com/attachments/649829713136713748/649832089168117770/deepfried_1575001468673.png",""
"624716755973177373","MH#2175","28-Nov-19 11:41 PM","tj needs to be here to see this","",""
"624716755973177373","MH#2175","28-Nov-19 11:41 PM","he unfriended me","",""
"624716755973177373","MH#2175","28-Nov-19 11:41 PM","and blocked me","",""
"624716755973177373","MH#2175","28-Nov-19 11:42 PM","fuck","",""
